Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JNJ,2/12/2021,164.399994,166.850006,164,166.580002,163.549377,4413100
JNJ,2/16/2021,166.580002,167.050003,164.639999,165.070007,162.066864,5656100
JNJ,2/17/2021,164.970001,166.089996,164.360001,165.660004,162.646118,6676700
JNJ,2/18/2021,164.960007,166.160004,164.300003,165.740005,162.724686,5189100
JNJ,2/19/2021,165.600006,165.960007,162.910004,162.979996,160.014862,8190900
JNJ,2/22/2021,161.869995,162.539993,160.289993,161.869995,159.916077,6447100
JNJ,2/23/2021,161.479996,163.190002,160.399994,160.440002,158.503357,7042800
JNJ,2/24/2021,162.399994,164.389999,160.919998,162.589996,160.62738,10286100
JNJ,2/25/2021,163.130005,163.699997,161.990005,162.759995,160.795349,9719700
JNJ,2/26/2021,162,162.410004,157.970001,158.460007,156.547256,14417500
JNJ,3/1/2021,161.449997,161.529999,159.089996,159.320007,157.396866,10551400
JNJ,3/2/2021,159.779999,160.779999,158.600006,159.020004,157.10051,7610900
JNJ,3/3/2021,158.25,158.899994,156.059998,156.220001,154.334305,8499600
JNJ,3/4/2021,155.990005,156.100006,151.470001,153.070007,151.222321,11033200
JNJ,3/5/2021,153.979996,156.690002,153.130005,156.100006,154.215744,8331600
JNJ,3/8/2021,157,159.330002,155.979996,157.399994,155.500046,6546700
JNJ,3/9/2021,156.889999,160.75,156.889999,157.699997,155.796432,7461300
JNJ,3/10/2021,158.820007,159.899994,157.360001,159.149994,157.228912,6635600
JNJ,3/11/2021,159.539993,160.630005,158.919998,159.139999,157.21904,6305600
JNJ,3/12/2021,159.279999,160.309998,159.190002,159.600006,157.673492,5474800
JNJ,3/15/2021,159.75,160.660004,158.5,160.419998,158.483597,5524100
JNJ,3/16/2021,160.460007,161.679993,160.240005,161.369995,159.422119,6369100
JNJ,3/17/2021,160.830002,161.729996,159.529999,160.770004,158.829376,6001400
JNJ,3/18/2021,160.210007,161.490005,159.960007,160.470001,158.53299,4801800
JNJ,3/19/2021,160.690002,161.5,159.470001,160.039993,158.108185,14891500
JNJ,3/22/2021,158.309998,160.649994,158,160.5,158.562637,7544100
JNJ,3/23/2021,160.210007,161.199997,158.880005,160.350006,158.414444,7178300
JNJ,3/24/2021,160.100006,162.479996,159.820007,161.910004,159.955612,6370100
JNJ,3/25/2021,162.440002,162.449997,160.639999,161.970001,160.014877,6269800
JNJ,3/26/2021,162.089996,165.100006,161.380005,164.929993,162.939148,7619200
JNJ,3/29/2021,163.830002,167.029999,163.630005,166.039993,164.035751,8535100
JNJ,3/30/2021,165.020004,165.660004,164.229996,165.009995,163.018188,7236300
JNJ,3/31/2021,164.960007,165.389999,163.699997,164.350006,162.366165,8281500
JNJ,4/1/2021,162.600006,163.839996,162.259995,162.830002,160.864517,7229700
JNJ,4/5/2021,163.639999,164.75,162.660004,163.429993,161.457245,7387100
JNJ,4/6/2021,164.080002,164.520004,163,163.389999,161.41774,5074200
JNJ,4/7/2021,163.550003,164.279999,163.320007,163.610001,161.635086,4608000
JNJ,4/8/2021,164,164.110001,162.850006,162.970001,161.002808,5039400
JNJ,4/9/2021,162.119995,162.929993,159.779999,161.25,159.303574,8418300
JNJ,4/12/2021,161.089996,162.080002,160.339996,161.639999,159.688858,5022800
JNJ,4/13/2021,156.860001,159.929993,156.529999,159.479996,157.554932,18424100
JNJ,4/14/2021,157.830002,160.110001,157.539993,159.919998,157.989624,7718300
JNJ,4/15/2021,160.720001,162.389999,160.229996,160.389999,158.453949,7524600
JNJ,4/16/2021,161.339996,162.509995,160.559998,162.240005,160.281631,9049400
JNJ,4/19/2021,162.5,163.110001,160.839996,162.690002,160.726196,8353500
JNJ,4/20/2021,161,167.789993,161,166.479996,164.470428,14050700
JNJ,4/21/2021,166.369995,166.910004,165.289993,166.589996,164.579117,6333200
JNJ,4/22/2021,165.839996,166.279999,164.619995,165.179993,163.186127,7233000
JNJ,4/23/2021,164.529999,166.059998,164,165.520004,163.522034,6015300
JNJ,4/26/2021,165.210007,165.410004,163.759995,164.119995,162.138916,6027800
JNJ,4/27/2021,163.759995,163.910004,162.470001,163.179993,161.210266,6217700
JNJ,4/28/2021,162.860001,163.199997,161.649994,161.979996,160.024765,7448000
JNJ,4/29/2021,161.899994,164.259995,161.809998,164.199997,162.217957,6394300
JNJ,4/30/2021,164.149994,164.330002,162.520004,162.729996,160.765701,9079100
JNJ,5/3/2021,163.600006,165.320007,163.119995,165.210007,163.215775,6594100
JNJ,5/4/2021,164.830002,167.850006,164.669998,167.770004,165.744873,10179500
JNJ,5/5/2021,167.5,168.399994,166.789993,167.070007,165.053329,7792300
JNJ,5/6/2021,166.789993,167.889999,166.240005,167.740005,165.71524,5529900
JNJ,5/7/2021,168.300003,169.179993,167.830002,168.5,166.466049,5316200
JNJ,5/10/2021,169.899994,171.529999,169.229996,170.270004,168.214691,8357500
JNJ,5/11/2021,170.649994,170.869995,168.279999,168.880005,166.841476,8217900
